ano,focos_calor,area_km2,focos_por_km2
2003,323,11374.872441,0.02839592
2004,680,11374.872441,0.05978089
2005,1368,11374.872441,0.12026508
2006,193,11374.872441,0.01696722
2007,626,11374.872441,0.05503358
2008,692,11374.872441,0.06083585
2009,115,11374.872441,0.01011
2010,1410,11374.872441,0.12395743
2011,275,11374.872441,0.0241761
2012,236,11374.872441,0.02074749
2013,398,11374.872441,0.0349894
2014,125,11374.872441,0.01098913
2015,505,11374.872441,0.0443961
2016,354,11374.872441,0.03112123
2017,1003,11374.872441,0.08817681
2018,205,11374.872441,0.01802218
2019,700,11374.872441,0.06153915
2020,3817,11374.872441,0.3355642
2021,379,11374.872441,0.03331905
2022,77,11374.872441,0.00676931
2023,838,11374.872441,0.07367116
2024,2032,11374.872441,0.17863937
